Alaya Dawn Johnson
Carina Adams
Carrie Ryan
Elaine Fox
Franz Kafka
Garth Nix
Holly Black
J.D. Robb
Jeannine Colette
John Green
Jonathan Swift
Justine Larbalestier
Lauren Myracle
Lauren Runow
Leddy Harper
Leo Tolstoy
Mark Twain
Mary Blayney
Mary Kay McComas
Maureen Johnson
Meg Cabot
Nicole Hart
R.C. Ryan
S.L. Ziegler
Scott Westerfeld
Stendhal
Stephie Walls
Toni Morrison
